crop,temperature,rainfall,N,P,K,ph,humidity,fertilizer_used,irrigation_used,yield_tons_per_ha
cassava,23.86,318.1,42.8,113.4,95.7,9.235,26.72,1,1,10.498
soybeans,13.05,526.11,10.5,15.3,44.2,6.654,81.49,1,0,1.604
cassava,24.71,407.24,71.0,24.9,143.3,5.683,36.42,1,1,8.409
maize,25.61,257.17,108.5,43.0,104.3,5.348,25.51,1,0,2.662
wheat,15.03,230.68,111.6,74.4,131.2,5.653,61.62,0,0,1.623
soybeans,12.44,959.35,47.1,99.1,11.4,4.367,73.03,0,1,1.412
soybeans,23.36,551.7,63.2,109.8,185.4,3.823,59.07,0,0,1.265
cotton,21.37,339.17,136.0,77.4,184.2,5.752,88.03,0,1,1.025
maize,10.77,462.59,62.0,91.4,175.0,4.776,24.8,1,0,2.576
wheat,21.46,161.12,83.5,126.5,142.2,5.98,24.98,1,1,2.387
cotton,16.65,634.87,136.6,90.1,161.2,6.424,59.75,1,1,1.184
maize,38.62,928.95,32.0,99.0,128.6,5.828,23.77,1,1,2.276
rice,13.4,639.23,67.9,80.7,168.7,4.616,83.47,1,1,2.254
cassava,38.53,449.29,2.3,15.7,121.0,4.396,17.59,0,1,4.514
wheat,13.48,836.55,27.8,16.9,110.4,5.624,79.03,0,1,1.971
rice,10.57,195.77,69.5,101.6,71.9,8.021,74.08,1,0,3.168
soybeans,37.72,1022.1,130.4,60.7,195.6,8.068,17.61,1,0,0.61
maize,33.26,546.76,87.9,31.9,34.2,9.597,92.92,1,1,2.447
wheat,24.32,1495.68,57.2,30.5,127.7,5.036,23.08,0,0,0.975
wheat,18.44,188.07,35.5,19.6,69.5,6.998,97.74,0,0,1.433
maize,11.69,222.29,16.5,95.9,154.2,7.292,96.75,0,0,1.334
maize,35.88,309.92,112.0,82.4,84.3,4.356,88.42,0,0,1.935
rice,35.63,1045.81,72.8,121.2,88.8,4.761,38.5,1,1,1.72
cotton,10.13,804.26,30.4,109.1,13.6,8.905,86.08,1,0,0.907
soybeans,32.96,1348.72,110.6,32.3,124.9,5.659,14.79,0,0,0.561
wheat,34.49,1044.43,86.3,124.5,185.1,6.028,28.9,1,0,1.657
wheat,10.42,727.63,104.0,74.9,160.9,6.431,98.57,0,0,1.931
